## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Pelagibacter phage HTVC008M	NC_020484	-	-	147284 nt	198	-	bacteria	03/12/2013	06/11/2014	
Pelagibacter phage HTVC010P	NC_020481	-	-	34892 nt	64	-	bacteria	03/12/2013	06/11/2014	
Pelagibacter phage HTVC011P	NC_020482	-	-	39921 nt	45	-	bacteria	03/12/2013	06/11/2014	
Pelagibacter phage HTVC019P	NC_020483	-	-	42084 nt	59	-	bacteria	03/12/2013	06/11/2014	
Phormidium phage MIS-PhV1A	NC_029032	-	-	45532 nt	62	-	bacteria	01/05/2016	01/15/2016	
Phormidium phage MIS-PhV1B	NC_028998	-	-	41291 nt	57	-	bacteria	01/05/2016	01/09/2016	
Phormidium virus WMP3	NC_009551	-	-	43249 nt	41	-	bacteria	06/11/2007	11/06/2008	
Phormidium virus WMP4	NC_008367	-	-	40938 nt	45	-	bacteria	09/22/2006	12/20/2007	
Planktothrix phage PaV-LD	NC_016564	-	-	95299 nt	142	-	bacteria	01/06/2012	01/06/2012	
Podovirus Lau218	NC_024329	strain:Abe	-	39425 nt	48	2	bacteria	01/06/2016	01/09/2016	
Polaribacter phage P12002L	NC_028924	-	-	48689 nt	82	-	bacteria	01/05/2016	01/05/2016	
Polaribacter phage P12002S	NC_028763	-	-	49847 nt	86	-	bacteria	01/05/2016	01/05/2016	
Prochlorococcus phage MED4-184	NC_020847	strain:MED4-184	-	38327 nt	59	-	bacteria	03/30/2013	03/30/2013	
Prochlorococcus phage MED4-213	NC_020845	strain:MED4-213	-	180977 nt	216	-	bacteria	03/30/2013	03/30/2013	
Prochlorococcus phage P-GSP1	NC_020878	strain:P-GSP1	-	44945 nt	49	-	bacteria	03/30/2013	03/30/2013	
Prochlorococcus phage P-HM1	NC_015280	strain:M4-247	-	181044 nt	241	-	bacteria	03/24/2011	07/17/2012	
Prochlorococcus phage P-HM2	NC_015284	strain:M4-259	-	183806 nt	242	-	bacteria	03/24/2011	07/17/2012	
Prochlorococcus phage P-RSM4	NC_015283	strain:9303-10a	-	176428 nt	239	-	bacteria	03/24/2011	07/17/2012	
Prochlorococcus phage P-SSM2	NC_006883	-	-	252401 nt	334	2	bacteria	03/25/2005	12/13/2010	
Prochlorococcus phage P-SSM3	NC_021559	strain:P-SSM3	-	179063 nt	214	-	bacteria	06/21/2013	06/21/2013	
Prochlorococcus phage P-SSM4	NC_006884	-	-	178249 nt	221	1	bacteria	03/25/2005	12/13/2010	
Prochlorococcus phage P-SSM7	NC_015290	strain:NATL1A-15	-	182180 nt	237	-	bacteria	03/24/2011	07/17/2012	
Prochlorococcus phage P-SSP10	NC_020835	strain:P-SSP10	-	47325 nt	49	-	bacteria	03/30/2013	03/30/2013	
Prochlorococcus phage P-SSP3	NC_020874	strain:P-SSP3	-	46198 nt	53	-	bacteria	03/30/2013	03/30/2013	
Prochlorococcus phage P-TIM68	NC_028955	-	-	197361 nt	246	-	bacteria	01/05/2016	08/24/2017	
Prochlorococcus phage Syn1	NC_015288	strain:Syn1	-	191195 nt	234	8	bacteria	03/24/2011	07/17/2012	
Prochlorococcus phage Syn33	NC_015285	strain:Syn33	-	174285 nt	227	-	bacteria	03/24/2011	07/17/2012	
Prochlorococcus virus PSSP7	NC_006882	-	-	45176 nt	58	-	bacteria	03/25/2005	05/31/2012	
Propionibacterium phage ATCC29399B_C	NC_018851	-	-	29516 nt	46	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage ATCC29399B_T	NC_018847	-	-	29516 nt	46	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage Attacne	NC_027629	-	-	28876 nt	45	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage B5	NC_003460	-	-	5804 nt	10	-	bacteria	03/21/2002	05/06/2009	
Propionibacterium phage BruceLethal	NC_031084	-	-	29249 nt	44	-	bacteria	09/23/2016	08/24/2017	
Propionibacterium phage Enoki	NC_031119	-	-	29347 nt	45	-	bacteria	09/23/2016	08/24/2017	
Propionibacterium phage Kubed	NC_027625	-	-	29461 nt	44	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Lauchelly	NC_027628	-	-	29517 nt	45	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Moyashi	NC_031003	-	-	29254 nt	44	-	bacteria	09/23/2016	08/24/2017	
Propionibacterium phage MrAK	NC_027620	-	-	29726 nt	46	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Ouroboros	NC_027630	-	-	29506 nt	45	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage P1.1	NC_018842	-	-	29348 nt	45	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P100D	NC_018852	-	-	29506 nt	47	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P100_1	NC_018840	-	-	29612 nt	47	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P100_A	NC_018838	-	-	29505 nt	45	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P101A	NC_018841	-	-	29574 nt	47	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P104A	NC_018845	-	-	29371 nt	45	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P105	NC_018849	-	-	29202 nt	45	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P14.4	NC_018839	-	-	29729 nt	47	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage P9.1	NC_018834	-	-	29214 nt	45	-	bacteria	10/15/2012	11/01/2012	
Propionibacterium phage PA1-14	NC_028694	-	-	29407 nt	45	-	bacteria	12/17/2015	12/17/2015	
Propionibacterium phage PA6	NC_009541	isolate:PA6	-	29739 nt	48	-	bacteria	06/08/2007	11/21/2007	
Propionibacterium phage PAC1	NC_028967	-	-	29605 nt	42	9	bacteria	01/05/2016	01/05/2016	
Propionibacterium phage PAD20	NC_015454	-	-	29074 nt	45	-	bacteria	04/27/2011	04/27/2011	
Propionibacterium phage PAS50	NC_015453	-	-	29017 nt	46	-	bacteria	04/27/2011	04/27/2011	
Propionibacterium phage PFR1	NC_031076	-	-	38071 nt	56	-	bacteria	09/23/2016	09/23/2016	
Propionibacterium phage PFR2	NC_031108	-	-	39640 nt	58	-	bacteria	09/23/2016	09/23/2016	
Propionibacterium phage PHL009M11	NC_027336	isolate:PHL009M11	-	29503 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL010M04	NC_022336	-	-	29511 nt	45	2	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL025M00	NC_027357	isolate:PHL025M00	-	29496 nt	43	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL030N00	NC_027373	isolate:PHL030N00	-	29423 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL041M10	NC_027391	isolate:PHL041M10	-	29412 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL055N00	NC_027400	isolate:PHL055N00	-	29264 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL060L00	NC_022338	-	-	29514 nt	46	-	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL067M10	NC_022335	-	-	29377 nt	45	-	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL070N00	NC_027333	isolate:PHL070N00	-	29421 nt	44	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL071N05	NC_022337	-	-	29467 nt	45	-	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL082M00	NC_027359	isolate:PHL082M00	-	29491 nt	47	2	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL085N00	NC_027361	isolate:PHL085N00	-	29454 nt	44	2	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL092M00	NC_027385	isolate:PHL092M00	-	29261 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL095N00	NC_027401	isolate:PHL095N00	-	29751 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL111M01	NC_022342	-	-	29140 nt	45	-	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL112N00	NC_022334	-	-	29266 nt	46	-	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL113M01	NC_022341	-	-	29200 nt	44	-	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL114L00	NC_022340	-	-	29464 nt	46	1	bacteria	09/12/2013	09/12/2013	
Propionibacterium phage PHL116M00	NC_027362	isolate:PHL116M00	-	29394 nt	46	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL132N00	NC_027367	isolate:PHL132N00	-	29003 nt	42	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL141N00	NC_027389	isolate:PHL141N00	-	29494 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL150M00	NC_027294	isolate:PHL150M00	-	29438 nt	45	-	bacteria	06/22/2015	06/22/2015	
Propionibacterium phage PHL152M00	NC_027386	isolate:PHL152M00	-	29247 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL171M01	NC_027346	isolate:PHL171M01	-	29327 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL179M00	NC_027370	isolate:PHL179M00	-	29428 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL199M00	NC_027295	isolate:PHL199M00	-	29806 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage PHL301M00	NC_027354	isolate:PHL301M00	-	29323 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage Pacnes 2012-15	NC_027371	-	-	29741 nt	45	-	bacteria	06/24/2015	06/24/2015	
Propionibacterium phage Pirate	NC_027623	-	-	29328 nt	44	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Procrass1	NC_027626	-	-	29347 nt	45	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage QueenBey	NC_031005	-	-	29338 nt	43	-	bacteria	09/23/2016	08/24/2017	
Propionibacterium phage SKKY	NC_027624	-	-	29594 nt	47	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Solid	NC_027627	-	-	29440 nt	45	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Stormborn	NC_027622	-	-	29330 nt	46	-	bacteria	07/28/2015	08/24/2017	
Propionibacterium phage Wizzo	NC_027621	-	-	29463 nt	44	-	bacteria	07/28/2015	08/24/2017	
Proteus phage PM 75	NC_027363	-	-	41480 nt	25	-	bacteria	06/24/2015	06/24/2015	
Proteus phage PM 85	NC_027379	-	-	43642 nt	23	-	bacteria	06/24/2015	12/03/2015	
Proteus phage PM 93	NC_027390	-	-	45169 nt	47	-	bacteria	06/24/2015	02/13/2016	
Proteus phage PM16	NC_027342	-	-	41268 nt	46	-	bacteria	06/24/2015	10/07/2015	
Proteus phage pPM_01	NC_028812	-	-	58546 nt	70	-	bacteria	01/05/2016	01/05/2016	
Proteus phage vB_PmiM_Pm5461	NC_028762	-	-	161989 nt	256	-	bacteria	01/05/2016	01/05/2016	
Proteus phage vB_PmiP_Pm5460	NC_028916	-	-	44573 nt	53	-	bacteria	01/05/2016	01/05/2016	
Providencia phage Redjac	NC_018832	-	-	58104 nt	41	-	bacteria	10/15/2012	04/26/2013	
Pseudoalteromonas phage BS5	NC_031917	-	-	39949 nt	65	-	bacteria	11/15/2016	11/15/2016	
Pseudoalteromonas phage H101	NC_029094	-	-	131903 nt	228	-	bacteria	02/05/2016	02/05/2016	
Pseudoalteromonas phage H103	NC_028819	-	-	43190 nt	75	-	bacteria	01/05/2016	01/05/2016	
Pseudoalteromonas phage H105/1	NC_015293	-	-	30651 nt	52	-	bacteria	03/29/2011	01/15/2016	
Pseudoalteromonas phage PH1	NC_031908	-	-	42685 nt	54	-	bacteria	11/15/2016	11/15/2016	
Pseudoalteromonas phage Pq0	NC_029100	-	-	33399 nt	56	-	bacteria	02/05/2016	06/01/2016	
Pseudoalteromonas phage RIO-1	NC_021300	-	-	43882 nt	56	-	bacteria	05/31/2013	04/16/2014	
Pseudoalteromonas phage pYD6-A	NC_020849	strain:pYD6-A	-	76802 nt	99	-	bacteria	03/30/2013	03/30/2013	
Pseudoalteromonas virus PM2	NC_000867	-	-	10079 nt	22	-	bacteria	07/13/1999	03/26/2010	
Pseudomonad phage gh-1	NC_004665	-	-	37359 nt	42	-	bacteria	03/29/2003	05/06/2009	
Pseudomonas phage 14-1	NC_011703	-	-	66235 nt	90	-	bacteria	12/14/2008	02/04/2011	
Pseudomonas phage 201phi2-1	NC_010821	-	-	316674 nt	461	-	bacteria	06/06/2008	04/03/2013	
Pseudomonas phage 73	NC_007806	-	-	42999 nt	52	-	bacteria	03/03/2006	05/06/2009	
Pseudomonas phage AF	NC_019923	strain:Pseudomonas putida GB-1	-	42689 nt	65	-	bacteria	12/19/2012	12/19/2012	
Pseudomonas phage Andromeda	NC_031014	-	-	40008 nt	46	-	bacteria	09/23/2016	09/23/2016	
Pseudomonas phage B3	NC_006548	strain:ATCC15692-B1	-	38439 nt	59	-	bacteria	12/17/2004	05/14/2007	
Pseudomonas phage Bf7	NC_016764	-	-	40058 nt	46	-	bacteria	02/02/2012	07/18/2012	
Pseudomonas phage C11	NC_028652	-	-	94109 nt	172	-	bacteria	12/17/2015	12/17/2015	
Pseudomonas phage CHA_P1	NC_022974	-	-	88255 nt	166	1	bacteria	12/04/2013	12/04/2013	
Pseudomonas phage DL54	NC_028919	-	-	45673 nt	71	-	bacteria	01/05/2016	03/16/2016	
Pseudomonas phage DL60	NC_028745	-	-	66103 nt	89	-	bacteria	01/05/2016	03/16/2016	
Pseudomonas phage DL62	NC_028836	-	-	42508 nt	55	-	bacteria	01/05/2016	03/16/2016	
Pseudomonas phage DL64	NC_028885	-	-	72378 nt	90	-	bacteria	01/05/2016	03/16/2016	
Pseudomonas phage DL68	NC_028971	-	-	66111 nt	92	-	bacteria	01/05/2016	03/16/2016	
Pseudomonas phage EL	NC_007623	-	-	211215 nt	201	-	bacteria	11/24/2005	12/20/2007	
Pseudomonas phage F10	NC_007805	-	-	39199 nt	63	-	bacteria	03/03/2006	05/06/2009	
Pseudomonas phage F8	NC_007810	-	-	66015 nt	91	1	bacteria	03/03/2006	05/06/2009	
Pseudomonas phage H70	NC_027384	-	-	37359 nt	58	-	bacteria	06/24/2015	06/24/2015	
Pseudomonas phage JBD18	NC_027986	strain:JBD18	-	39014 nt	52	-	bacteria	10/08/2015	10/08/2015	
Pseudomonas phage JBD24	NC_020203	-	-	37095 nt	58	-	bacteria	02/05/2013	02/05/2013	
Pseudomonas phage JBD25	NC_027992	strain:JBD25	-	39552 nt	55	-	bacteria	10/08/2015	10/08/2015	
Pseudomonas phage JBD30	NC_020198	-	-	36947 nt	56	-	bacteria	02/05/2013	02/05/2013	
Pseudomonas phage JBD44	NC_030929	-	-	49033 nt	80	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage JBD5	NC_020202	-	-	37740 nt	59	-	bacteria	02/05/2013	02/05/2013	
Pseudomonas phage JBD69	NC_030908	-	-	36938 nt	57	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage JBD88a	NC_020200	-	-	36429 nt	55	-	bacteria	02/05/2013	02/05/2013	
Pseudomonas phage JBD93	NC_030918	-	-	36629 nt	55	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage JD024	NC_024330	-	-	37380 nt	58	-	bacteria	06/23/2014	06/23/2014	
Pseudomonas phage JG004	NC_019450	strain:JG004	-	93017 nt	161	-	bacteria	11/16/2012	02/15/2013	
Pseudomonas phage JG024	NC_017674	strain:JG024	-	66275 nt	93	-	bacteria	11/16/2012	11/16/2012	
Pseudomonas phage K5	NC_030910	-	-	93754 nt	178	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage K8	NC_028817	-	-	93879 nt	178	-	bacteria	01/05/2016	03/15/2016	
Pseudomonas phage KPP10	NC_015272	-	-	88322 nt	158	-	bacteria	03/29/2011	10/07/2016	
Pseudomonas phage KPP12	NC_019935	-	-	64144 nt	88	-	bacteria	12/19/2012	12/19/2012	
Pseudomonas phage KPP21	NC_029017	-	-	73420 nt	113	-	bacteria	01/05/2016	01/05/2016	
Pseudomonas phage KPP25	NC_024123	-	-	64113 nt	88	-	bacteria	05/23/2014	07/03/2015	
Pseudomonas phage LBL3	NC_011165	-	-	64427 nt	88	-	bacteria	08/22/2008	02/04/2011	
Pseudomonas phage LIT1	NC_013692	-	-	72544 nt	90	-	bacteria	09/22/2009	01/25/2011	
Pseudomonas phage LKA1	NC_009936	-	-	41593 nt	57	-	bacteria	09/18/2006	01/13/2016	
Pseudomonas phage LKD16	NC_009935	-	-	43200 nt	53	-	bacteria	09/18/2006	04/17/2009	
Pseudomonas phage LMA2	NC_011166	-	-	66530 nt	94	-	bacteria	08/22/2008	02/04/2011	
Pseudomonas phage LUZ19	NC_010326	-	-	43548 nt	54	-	bacteria	11/27/2007	11/19/2010	
Pseudomonas phage LUZ7	NC_013691	-	-	74901 nt	115	-	bacteria	09/22/2009	01/25/2011	
Pseudomonas phage Lu11	NC_017972	strain:Lu11	-	280538 nt	391	-	bacteria	05/30/2012	05/30/2012	
Pseudomonas phage MD8	NC_031091	-	-	43277 nt	64	-	bacteria	09/23/2016	09/23/2016	
Pseudomonas phage MP1412	NC_018282	-	-	61167 nt	77	-	bacteria	08/06/2012	08/13/2012	
Pseudomonas phage MP42	NC_018274	-	-	36847 nt	53	-	bacteria	08/06/2012	08/06/2012	
Pseudomonas phage MP48	NC_024782	-	-	36838 nt	50	-	bacteria	09/09/2014	09/09/2014	
Pseudomonas phage MPK6	NC_022746	-	-	42957 nt	50	-	bacteria	11/06/2013	11/06/2013	
Pseudomonas phage MPK7	NC_022091	-	-	42874 nt	53	-	bacteria	08/17/2013	10/24/2013	
Pseudomonas phage NH-4	NC_019451	-	-	66116 nt	94	-	bacteria	11/16/2012	11/16/2012	
Pseudomonas phage NP1	NC_031058	-	-	58566 nt	74	-	bacteria	09/23/2016	09/23/2016	
Pseudomonas phage O4	NC_031274	-	-	50509 nt	76	-	bacteria	09/27/2016	09/27/2016	
Pseudomonas phage OBP	NC_016571	-	-	284757 nt	309	-	bacteria	01/10/2012	02/03/2012	
Pseudomonas phage PA11	NC_007808	-	-	49639 nt	70	-	bacteria	03/03/2006	05/06/2009	
Pseudomonas phage PAE1	NC_028980	-	-	62181 nt	88	-	bacteria	01/05/2016	06/21/2016	
Pseudomonas phage PAJU2	NC_011373	strain:PAJU2	-	46872 nt	79	-	bacteria	10/16/2008	02/18/2009	
Pseudomonas phage PAK_P1	NC_015294	-	-	93198 nt	181	-	bacteria	03/24/2011	12/05/2013	
Pseudomonas phage PAK_P2	NC_022967	-	-	92495 nt	176	-	bacteria	12/04/2013	12/04/2013	
Pseudomonas phage PAK_P3	NC_022970	-	-	88097 nt	165	1	bacteria	12/04/2013	05/04/2016	
Pseudomonas phage PAK_P4	NC_022986	-	-	93147 nt	172	-	bacteria	12/04/2013	10/07/2016	
Pseudomonas phage PAK_P5	NC_022966	-	-	88135 nt	164	1	bacteria	12/04/2013	12/04/2013	
Pseudomonas phage PB1	NC_011810	-	-	65764 nt	93	15	bacteria	01/05/2009	02/04/2011	
Pseudomonas phage PEV2	NC_031063	-	-	72697 nt	93	2	bacteria	09/23/2016	09/23/2016	
Pseudomonas phage PP7	NC_001628	-	-	3588 nt	4	-	bacteria	07/28/1994	02/10/2015	
Pseudomonas phage PPPL-1	NC_028661	-	-	41149 nt	49	-	bacteria	12/17/2015	12/17/2015	
Pseudomonas phage PPpW-3	NC_023006	-	-	43564 nt	66	-	bacteria	12/09/2013	05/08/2016	
Pseudomonas phage PPpW-4	NC_023005	-	-	41386 nt	50	-	bacteria	12/09/2013	05/08/2016	
Pseudomonas phage PRR1	NC_008294	-	-	3573 nt	4	-	bacteria	08/24/2006	04/17/2009	
Pseudomonas phage PS-1	NC_029066	strain:PS-1	-	48666 nt	79	-	bacteria	02/05/2016	02/05/2016	
Pseudomonas phage PT2	NC_011107	strain:PT2	-	42961 nt	54	1	bacteria	08/04/2008	04/17/2009	
Pseudomonas phage Pa2	NC_027345	-	-	73008 nt	91	-	bacteria	06/24/2015	06/24/2015	
Pseudomonas phage PaBG	NC_022096	-	-	258139 nt	308	-	bacteria	08/17/2013	03/06/2014	
Pseudomonas phage PaMx11	NC_028770	-	-	59878 nt	81	-	bacteria	01/05/2016	01/06/2016	
Pseudomonas phage PaMx28	NC_028931	-	-	55108 nt	74	-	bacteria	01/05/2016	01/06/2016	
Pseudomonas phage PaMx42	NC_028879	-	-	43225 nt	56	-	bacteria	01/05/2016	01/05/2016	
Pseudomonas phage PaMx74	NC_028809	-	-	58637 nt	75	-	bacteria	01/05/2016	01/06/2016	
Pseudomonas phage PaP1	NC_019913	-	-	91715 nt	167	-	bacteria	12/19/2012	11/12/2015	
Pseudomonas phage PaP2	NC_005884	-	-	43783 nt	58	5	bacteria	06/14/2004	12/19/2007	
Pseudomonas phage PaoP5	NC_029083	-	-	93464 nt	173	-	bacteria	02/05/2016	02/05/2016	
Pseudomonas phage Pf-10	NC_027292	-	-	39167 nt	46	-	bacteria	06/22/2015	06/22/2015	
Pseudomonas phage Pf1	NC_001331	strain:ATCC 25102-B1	-	7349 nt	14	-	bacteria	04/13/1992	02/10/2015	
Pseudomonas phage Pf3	NC_001418	-	-	5833 nt	9	1	bacteria	04/28/1993	02/10/2015	
Pseudomonas phage Phi-S1	NC_021062	-	-	40192 nt	47	-	bacteria	04/16/2013	04/16/2013	
Pseudomonas phage PhiCHU	NC_028933	-	-	45626 nt	73	-	bacteria	01/05/2016	01/05/2016	
Pseudomonas phage PhiPA3	NC_028999	-	-	309208 nt	375	-	bacteria	01/05/2016	01/05/2016	
Pseudomonas phage SN	NC_011756	-	-	66390 nt	92	1	bacteria	12/16/2008	02/04/2011	
Pseudomonas phage TL	NC_023583	-	-	45696 nt	65	-	bacteria	01/06/2014	03/02/2014	
Pseudomonas phage UFV-P2	NC_018850	-	-	45517 nt	75	-	bacteria	10/15/2012	05/10/2013	
Pseudomonas phage VCM	NC_029065	-	-	98765 nt	172	-	bacteria	11/16/2015	02/05/2016	
Pseudomonas phage YH30	NC_029101	isolate:sewage	-	72192 nt	86	-	bacteria	02/05/2016	06/30/2016	
Pseudomonas phage YH6	NC_027388	-	-	73050 nt	90	-	bacteria	06/24/2015	06/24/2015	
Pseudomonas phage YMC11/02/R656	NC_028657	-	-	60919 nt	113	-	bacteria	12/17/2015	12/17/2015	
Pseudomonas phage YMC11/06/C171_PPU_BP	NC_030923	-	-	45417 nt	49	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage YMC11/07/P54_PAE_BP	NC_030909	-	-	50183 nt	73	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage phi-2	NC_013638	strain:phi 2	-	43144 nt	43	-	bacteria	12/10/2009	01/06/2011	
Pseudomonas phage phi12	-	-	3	13173 nt	15	-	bacteria	09/06/2001	12/21/2016	
          Pseudomonas phage phi12     (6751 nt)     NC_004173     proteins: 6
          Pseudomonas phage phi12     (2322 nt)     NC_004174     proteins: 4
          Pseudomonas phage phi12     (4100 nt)     NC_004175     proteins: 5
Pseudomonas phage phi13	-	-	3	13652 nt	13	-	bacteria	08/17/2000	07/19/2017	
          Pseudomonas phage phi13     (4213 nt)     NC_004171     proteins: 5
          Pseudomonas phage phi13     (6458 nt)     NC_004172     proteins: 4
          Pseudomonas phage phi13     (2981 nt)     NC_004170     proteins: 4
Pseudomonas phage phi15	NC_015208	-	-	39562 nt	50	-	bacteria	03/01/2011	03/18/2011	
Pseudomonas phage phi2	NC_030931	-	-	41871 nt	52	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage phi2954	-	-	3	12685 nt	14	-	bacteria	02/19/2009	01/27/2012	
          Pseudomonas phage phi2954     (6501 nt)     NC_012091     proteins: 6
          Pseudomonas phage phi2954     (3606 nt)     NC_012092     proteins: 4
          Pseudomonas phage phi2954     (2578 nt)     NC_012093     proteins: 4
Pseudomonas phage phi297	NC_016762	-	-	49135 nt	69	-	bacteria	02/02/2012	02/02/2012	
Pseudomonas phage phi3	NC_030940	-	-	32637 nt	36	-	bacteria	09/19/2016	09/19/2016	
Pseudomonas phage phi8	-	-	3	14984 nt	19	-	bacteria	04/11/2000	07/15/2017	
          Pseudomonas phage phi8     (4741 nt)     NC_003300     proteins: 6
          Pseudomonas phage phi8     (7051 nt)     NC_003299     proteins: 7
          Pseudomonas phage phi8     (3192 nt)     NC_003301     proteins: 6
Pseudomonas phage phiIBB-PAA2	NC_022971	strain:phiIBB-PAA2	-	45344 nt	69	-	bacteria	12/04/2013	02/28/2014	
Pseudomonas phage phiIBB-PF7A	NC_015264	-	-	40973 nt	52	-	bacteria	03/21/2011	04/18/2011	
Pseudomonas phage phiKMV	NC_005045	-	-	42519 nt	49	1	bacteria	07/25/2003	04/17/2009	
Pseudomonas phage phiMK	NC_031110	-	-	93129 nt	172	-	bacteria	09/23/2016	09/23/2016	
Pseudomonas phage phiPSA1	NC_024365	-	-	51090 nt	52	-	bacteria	06/23/2014	06/23/2014	
Pseudomonas phage phiPSA2	NC_024362	-	-	40472 nt	47	1	bacteria	06/24/2014	06/24/2014	
Pseudomonas phage phiPsa374	NC_023601	-	-	97906 nt	173	-	bacteria	03/02/2014	03/02/2014	
Pseudomonas phage phiPto-bp6g	NC_023718	strain:Phi_Pto-bp6g	-	26499 nt	68	-	bacteria	03/11/2014	03/11/2014	
Pseudomonas phage phikF77	NC_012418	-	-	43152 nt	53	-	bacteria	03/23/2009	03/26/2010	
Pseudomonas phage tf	NC_017971	-	-	46271 nt	72	-	bacteria	05/10/2012	12/21/2012	
Pseudomonas phage vB_Pae-Kakheti25	NC_017864	-	-	42844 nt	58	1	bacteria	05/25/2012	05/25/2012	
Pseudomonas phage vB_Pae-TbilisiM32	NC_017865	-	-	42966 nt	51	3	bacteria	05/18/2012	05/25/2012	
Pseudomonas phage vB_PaeM_C1-14_Ab28	NC_026600	strain:Ab28	-	66181 nt	-	-	bacteria	11/10/2014	07/03/2015	
Pseudomonas phage vB_PaeM_C2-10_Ab1	NC_019918	strain:vB_PaeM_C2-10_Ab1	-	92777 nt	158	3	bacteria	10/24/2012	05/14/2013	
Pseudomonas phage vB_PaeM_MAG1	NC_031073	-	-	94555 nt	174	-	bacteria	09/23/2016	09/23/2016	
Pseudomonas phage vB_PaeM_PAO1_Ab03	NC_026587	strain:Ab03	-	86246 nt	156	4	bacteria	11/10/2014	07/03/2015	
Pseudomonas phage vB_PaeM_PAO1_Ab27	NC_026586	strain:Ab27	-	66299 nt	93	1	bacteria	11/10/2014	07/03/2015	
Pseudomonas phage vB_PaeM_PS24	NC_028882	-	-	84583 nt	153	-	bacteria	01/05/2016	01/05/2016	
Pseudomonas phage vB_PaeP_C2-10_Ab09	NC_024140	-	-	72028 nt	83	2	bacteria	04/10/2014	07/03/2015	
Pseudomonas phage vB_PaeP_C2-10_Ab22	NC_026599	strain:Ab22	-	45808 nt	71	-	bacteria	11/10/2014	07/03/2015	
Pseudomonas phage vB_PaeP_MAG4	NC_031104	-	-	72979 nt	94	-	bacteria	09/23/2016	09/23/2016	
